需求(五级项目),归属小微,一级项目,二级项目,三级项目,四级项目,年度,项目计划开始时间,项目期望交付时间,优先级,作战计划,项目负责人(团队长/链群主）,产品设计人员,计划开发人员,实际开发人员,状态,整体进度,说明,交付模式,AI交付类型,工具使用,项目标签,评估人天(条目法),计划人天(AI交付),计划提效,提效方式,资产化交付工具,缺口人天,缺口预算（元）,预算论证日期,实际人天,交付效率(倍),交付代码行,开发计划(链接),应用S码,涉及应用,供应商,项目类型,资源方案,项目分类,效率基线,效率目标,计划供应商人数,实际供应商人数,业务人员人数,项目资源配比(业务:产品:技术),供应商参与人数,资产析出,析出数量,资产析出一致性,资产析出准确率,资产入库,入库数量,入库准确率,增量生成,增量资产数量,增量资产占比,资产转译,转译准确率,数据回放,数据回放准确率,项目进展,项目风险,参与度(总和为1),入库时间,交付范围,数据来源,手工维护,开发状态(公式),是否逾期,需求大类,需求小类,开发跟进表计划人天,交付评价,更新时间,条目法人天（来自任务）,计划预算(元),创建人,创建人.部门,产品确认结果,父记录 2,创建时间,开发资源是否能按时到位,父记录 3,资产析出一致性 (1),资产析出准确率 (1),资产入库 (1),入库数量 (1),入库准确率 (1),增量生成 (1),增量资产数量 (1),增量资产占比 (1),资产转译 (1),转译准确率 (1),数据回放 (1),数据回放准确率 (1),项目进展 (1),项目风险 (1),参与度(总和为1) (1),入库时间 (1),交付范围 (1),数据来源 (1),手工维护 (1),开发状态(公式) (1),是否逾期 (1),需求大类 (1),需求小类 (1),开发根据表计划人天 (1),交付评价 (1),更新时间 (1),条目法人天（来自任务） (1),计划预算(元) (1),创建人 (1),创建人.部门 (1),产品确认结果 (1),创建时间 (1),开发资源是否能按时到位 (1)
内部往来对账（过度）,财资数字化,数字化赋能领域,财资数字化,海外管法一致项目-内部往来对账（最终）,内部往来对账（过度）,2025,2025/04/01,2025/12/31,P0,1230,庄兴雷,"李珊珊,金美英",,,挂起/取消,,,D类-供应商池,Level1 - 代码补全辅助开发,N/A,财资,600,309,194.17%,,,,,,0.0,,,,S00345,海尔全球往来管理平台,,核心项目新建,自有+供应商承建,通用开发类,1,1,8,0,,:2:0,,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,财资数字化战略运营✅财资关键项目统计表,否,挂起/取消,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,挂起/取消,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
乐企直连申报，包括报表补录、申报表样、工作底稿等开发设计，支持直连申报（包括增值税、企业所得税季报、年报、财务报表、财行税等16税种）；支持税企直连和乐企申报模式，完成申报及查询等功能。,财资数字化,数字化赋能领域,财资数字化,税务“金字塔循环”体系建设,全税种直连申报能力建设,2025,2025/02/10,2025/09/20,P0,930,张小禹,张小禹,,,需求设计,,,D类-供应商池,Level1 - 代码补全辅助开发,N/A,财资,596,,,,,596,774800,2025/06/04,0.0,,,,S01425,海尔智税通,青岛微智慧信息有限公司,政府指定&共创,全供应商承建,通用开发类,1,1,15,0,2,2:1:0,,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,是,需求设计,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,需求设计,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
人才库重构升级,人力数字化,数字化领域赋能,薪委会数字化,招聘数字化专项,人才库重构升级,2025,2025/05/06,2025/05/20,P0,530,梁文嘉,梁文嘉,陈震,,结项,,,B类-面向特性交付,Level3 - 资产生效模式,智能交付平台+Cursor,人力,528,,,,,,,,0.0,,88616,,S00840,海尔招聘,,核心项目重大迭代,全自有承建,通用开发类,1.7,8.25,10,10,15,15:1:1,,,,,,是,43,1,是,43,1,是,1,,,,,,2025/07/04,交付与质量中心,人力2025需求管理✅2025需求池管理,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/04,,,,,,,,,,,,,,,,,,2025/07/04,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/04,
资金付款管理平台项目,财资数字化,数字化赋能领域,财资数字化,GTMS2.0,资金付款管理平台能力包括付款集成、支付排程、支付执行、智能运营等模块,2025,2025/09/22,2025/12/31,P0,1230,王宗武,杨中锐,"高强,逯瑾",高强,开发,100%,,D类-供应商池,Level2 - 会话模式辅助开发,Cursor,财资,500,200,250.00%,,,,,,6.1,8197%,,,S04797,资金付款管理平台,中电金信软件有限公司,核心项目新建,自有+供应商承建,通用开发类,1.7,3,0,0,4,4:1:2,0,,,,,,,,,,,,,,,,暂无,,2025/07/08,交付与质量中心,财资数字化战略运营✅财资关键项目统计表,是,开发中,true,,,17.0,,2026/01/04 08:57,17.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,暂无,,2025/07/08,交付与质量中心,,,开发中,true,,,17.0,,2026/01/04 08:57,17.0,,赵晨,,,2025/07/08,
资产可视化能力建设，与园区、建筑委员会等外围全面数据互通能力建设,财资数字化,数字化赋能领域,财资数字化,资产管理平台重构,资产可视化能力建设，与园区、建筑委员会等外围全面数据互通能力建设,2025,2025/01/01,2025/12/31,P0,1230,陆立垚,黄冰冰,,,挂起/取消,,,D类-供应商池,Level1 - 代码补全辅助开发,,财资,500,270,185.19%,,,,,,0.0,,,,S00098,海尔集团资产管理系统,,,,,,,,,,:1:0,,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,否,挂起/取消,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,挂起/取消,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
资产履约管理能力建设，合同、发票、支付等能力全流程管理能力,财资数字化,数字化赋能领域,财资数字化,资产管理平台重构,资产履约管理能力建设，合同、发票、支付等能力全流程管理能力,2025,2025/01/01,2025/12/31,P0,1230,陆立垚,黄冰冰,,,发布,,架构及相关设计细化，并联各链群重新设计,D类-供应商池,Level1 - 代码补全辅助开发,,财资,500,270,185.19%,,,,,,0.0,,,,S00098,海尔集团资产管理系统,,,,,,,,,,:1:0,,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,否,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
资产项目管理能力建设，项目及采购等子能力建设,财资数字化,数字化赋能领域,财资数字化,资产管理平台重构,资产项目管理能力建设，项目及采购等子能力建设,2025,2025/01/01,2025/12/31,P0,1230,陆立垚,黄冰冰,,,发布,,架构及相关设计细化，并联各链群重新设计,D类-供应商池,Level1 - 代码补全辅助开发,,财资,500,270,185.19%,,,,,,0.0,,,,S00098,海尔集团资产管理系统,,,,,,,,,,:1:0,,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,否,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
集团应收信用项目,财资数字化,数字化赋能领域,财资数字化,客户管理应收信用项目,客户管理应收信用项目,2025,2025/10/17,2025/12/20,P0,1230,刘晓红,马素英,"孙乐磊,崔斌","崔斌
孙乐磊",发布,100%,,C类-包资源模式,Level2 - 会话模式辅助开发,,财资,460,200,230.00%,,,,,,20.0,2300%,,,,,,,,,,,,,,:1:2,,,,,,,,,,,,,,,,,暂无,,2025/10/17,交付与质量中心,,,开发完成,false,,,56.0,,2026/01/04 08:57,56.0,,马素英,质量运营数字化子链群,,,2025/10/17,,,,,,,,,,,,,,,,暂无,,2025/10/17,交付与质量中心,,,开发完成,false,,,56.0,,2026/01/04 08:57,56.0,,马素英,,,2025/10/17,
外汇管理建设,财资数字化,数字化赋能领域,财资数字化," CCR财务体系-海外司库建设",外汇管理建设,2025,2025/01/01,2025/12/31,,1230,庄兴雷,,,,挂起/取消,,,,,,财资,400,180,222.22%,,,,,,0.0,,,,S01537,海尔集团资金管理云平台,,核心项目新建,自有+供应商承建,通用开发类,1.7,3,0,0,,:0:0,,,,,,,,,,,,,,,,,,,2025/07/08,非交付与质量中心,财资数字化战略运营✅财资关键项目统计表,否,挂起/取消,false,,,0.0,,2026/01/29 09:16,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,非交付与质量中心,,,挂起/取消,false,,,0.0,,2026/01/29 09:16,0.0,,赵晨,,,2025/07/08,
4-校招面试安排全流程线上预约【全新构建】,人力数字化,数字化领域赋能,薪委会数字化,招聘数字化专项,2025校园秋招专项保障,2025,2025/06/01,2025/07/30,P0,730,梁文嘉,梁文嘉,"胡志森,孙艳飞","胡志森
孙艳飞",结项,100%,,B类-面向特性交付,Level3 - 资产生效模式,智能交付平台+Cursor,人力,365,,,,,0,0,,67.0,545%,,,S00840,海尔招聘,,,全自有承建,,,,,,,:1:2,,,,,,,,,,,,,,,,,暂无,,2025/07/04,交付与质量中心,,,开发完成,false,业务流程新建类,流程开发,238.5,,2026/01/04 08:57,238.5,,赵晨,开发团队A,,,2025/07/04,,,,,,,,,,,,,,,,暂无,,2025/07/04,交付与质量中心,,,开发完成,false,,,238.5,,2026/01/04 08:57,238.5,,赵晨,,,2025/07/04,
新建海外资金运营管理平台,财资数字化,数字化赋能领域,财资数字化," CCR财务体系-海外司库建设",海外资金运营,2025,2025/04/01,2025/06/30,P0,630,王宗武,孙钦阳,,,挂起/取消,,业务需求取消,D类-供应商池,Level1 - 代码补全辅助开发,,财资,342,,,,,342,410400,2025/06/04,0.0,,,,S01537,海尔集团资金管理云平台,中电金信软件有限公司,核心项目新建,自有+供应商承建,通用开发类,1.7,3,0,0,,:1:0,,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,是,挂起/取消,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,挂起/取消,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
结算中台迁移华为云，全流程功能测试（冒烟、集成、联调、回归四个阶段）,财资数字化,数字化赋能领域,财资数字化,资金能力迭代,结算中台服务器迁移华为云,2025,2025/03/25,2025/11/30,P0,1130,王宗武,杨中锐,逯瑾,,挂起/取消,,,C类-包资源模式,Level2 - 会话模式辅助开发,Cursor,财资,295,146,202.05%,,,146,175200,,0.0,,,,S01959,数字化转型-结算中心,,核心项目新建,自有+供应商承建,通用开发类,1.7,3,3,,8,8:1:1,,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,是,挂起/取消,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,挂起/取消,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
个税智能算税,财资数字化,数字化赋能领域,财资数字化,税务“金字塔循环”体系建设,个税智能算税,2025,2025/01/01,2025/10/31,P0,930,任若男,张炎,"朱广聪,逯瑾","逯瑾
张启栋",开发,100%,,B类-面向特性交付,Level3 - 资产生效模式,智能交付平台+Cursor,财资,268,,,,,,,,83.5,321%,,,S01062,海尔集团个税申报系统,,数据敏感,全自有承建,通用开发类,1.7,3,0,0,2,2:1:2,0,,,,,,,,,,,,,,,,暂无,,2025/07/08,交付与质量中心,财资数字化战略运营✅财资关键项目统计表,否,开发中,true,,,239.0,,2026/01/04 08:57,239.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,暂无,,2025/07/08,交付与质量中心,,,开发中,true,,,239.0,,2026/01/04 08:57,239.0,,赵晨,,,2025/07/08,
汇兑损益预算项目,财资数字化,数字化领域赋能,财资数字化,汇率波动预测,外汇汇率波动预测,2025,2025/08/01,2025/09/30,P0,930,王宗武,薛永娟,,,开发设计,,,D类-供应商池,Level1 - 代码补全辅助开发,N/A,财资,254,,,,,254,300000,2025/08/18,0.0,,,,S01539,海尔外汇管理系统,,,,,,,,,,:1:0,,,,,,,,,,,,,,,,,,,2025/08/19,交付与质量中心,,,开发中,true,业务流程新建类,流程开发,0.0,,2026/01/04 08:57,0.0,,薛永娟,资金税务数字化子链群,,,2025/08/19,,,,,,,,,,,,,,,,,,2025/08/19,交付与质量中心,,,开发中,true,,,0.0,,2026/01/04 08:57,0.0,,薛永娟,,,2025/08/19,
25年申报保障(开票、申报通道保障，配合税局推广，大量运维工作）,财资数字化,数字化赋能领域,财资数字化,税务“金字塔循环”体系建设,智税通能力迭代,2025,2025/02/10,2025/12/31,P0,1230,张小禹,张小禹,,,挂起/取消,,,D类-供应商池,Level1 - 代码补全辅助开发,N/A,财资,250,140,178.57%,,,250,325000,,0.0,,,,S01425,海尔智税通,青岛微智慧信息有限公司,成熟套件,全供应商承建,通用开发类,1,1,3,0,6,6:1:0,,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,是,挂起/取消,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,挂起/取消,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
直连花旗银行付款及查询（地区包括：哈萨克斯坦）,财资数字化,数字化赋能领域,财资数字化," CCR财务体系-海外司库建设",银企直连建设,2025,2025/03/25,2025/12/30,P3,1230,王宗武,陈冬梅,,,挂起/取消,,,D类-供应商池,Level1 - 代码补全辅助开发,,财资,228,110,207.27%,,,228,273600,,0.0,,,,S01396,银企协同平台,东软集团股份有限公司,核心项目重大迭代,全自有承建,通用开发类,1.7,3,0,0,1,1:1:0,,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,是,挂起/取消,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,挂起/取消,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
海外对公费用项目,财资数字化,海外财资数字化,智能交易与核算体系,海外稽核平台,海外费用稽核,2025,2025/10/09,2025/12/30,P0,1230,刘晓红,"陈晓宇,王丹",崔斌,"崔斌
胡锦辉
李京京",开发,93%,,C类-包资源模式,,,财资,3000,100,3000.00%,大规模复用现有资产,,,,,81.0,3704%,,,S03217,稽核中心,,,,,,,,,,:2:1,,,,,,,,,,,,,,,,,"暂无,协同阻碍",,2025/11/04,交付与质量中心,,,开发中,true,,,186.0,,2026/01/04 08:57,186.0,,陈晓宇,产业赋能子链群,,,2025/11/04,,,,,,,,,,,,,,,,"暂无,协同阻碍",,2025/11/04,交付与质量中心,,,开发中,true,,,186.0,,2026/01/04 08:57,186.0,,陈晓宇,,,2025/11/04,
海外对公费用项目-FAST接口对接,财资数字化,,,海外稽核平台,海外费用稽核,2025,2025/10/09,2025/11/30,P0,1230,刘晓红,陈晓宇,崔斌,,开发,,,C类-包资源模式,,,财资,3000,100,3000.00%,大规模复用现有资产,,,,,0.0,,,,S03217,稽核中心,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2025/11/25,交付与质量中心,,,开发中,true,,,0.0,,2026/01/04 08:57,0.0,,胡锦辉,开发团队C,,,2025/11/25,,,,,,,,,,,,,,,,,,2025/11/25,交付与质量中心,,,开发中,true,,,0.0,,2026/01/04 08:57,0.0,,胡锦辉,,,2025/11/25,
海外对公费用项目-影像系统,财资数字化,海外财资数字化,智能交易与核算体系,海外对公费用体系,海外影像系统,2025,2025/10/09,2025/12/30,P0,1230,刘晓红,刘振州,,,需求设计,,,D类-供应商池,Level1 - 代码补全辅助开发,,财资,1000,90,1111.11%,大规模复用现有资产,,,,,0.0,,,,S01684,全球电子档案管理中台,,,,,,,,,,:1:0,,,,,,,,,,,,,,,,,,,2025/11/04,交付与质量中心,,,需求设计,false,,,0.0,,2026/01/04 08:57,0.0,,刘振州,会计数字化子链群,,,2025/11/04,,,,,,,,,,,,,,,,,,2025/11/04,交付与质量中心,,,需求设计,false,,,0.0,,2026/01/04 08:57,0.0,,刘振州,,,2025/11/04,
GEMS-支付模块,财资数字化,数字化赋能领域,财资数字化,新能源海外共享项目-GEMS-支付模块,GEMS-支付模块,2025,2025/11/01,2025/11/30,P0,1030,庄兴雷,"王丹,薛军喜",,,挂起/取消,,,D类-供应商池,Level2 - 会话模式辅助开发,Claude+Cursor,财资,200,100,200.00%,,,,,,0.0,,,,S00319,海尔全球费用管理系统,,核心项目重大迭代,全自有承建,通用开发类,1.7,3,0,0,,:2:0,,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,财资数字化战略运营✅财资关键项目统计表,否,挂起/取消,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,挂起/取消,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
基于印章合规及智能管理目的，实现印章全生命周期的管理迭代，完善智能化用印场景及印章风险管理等，为业务合规基础上提效降本；,交付与质量中心,数字化赋能领域,法律委数字化,法律委-集团印鉴管理中台,印鉴管理平台重构项目,2025,2025/05/20,2025/10/30,P0,1030,郑耀华,李全,"孙泽琦,李江涛,林郭森","刘国帅
姜文泽",开发,100%,,A类-端到端交付模式,Level3 - 资产生效模式,智能交付平台+Cursor,法务,189.5,75,252.67%,,,,,,102.5,185%,,,S03984,Law省事,,核心项目重大迭代,全自有承建,通用开发类,,,,,,:1:3,,,,,,,,,,,,,,,,设计中,"暂无,是,时间压力,需求模糊,协同阻碍",,2025/07/04,交付与质量中心,项目库维护,,开发中,true,业务流程新建类,流程开发,266.5,,2026/01/29 09:16,266.5,,赵晨,开发团队A,,,2025/07/04,,,,,,,,,,,,,,,,"暂无,是,时间压力,需求模糊,协同阻碍",,2025/07/04,交付与质量中心,,,开发中,true,,,266.5,,2026/01/29 09:16,266.5,,赵晨,,,2025/07/04,
22类新发票票种对接,财资数字化,数字化赋能领域,财资数字化,税务“金字塔循环”体系建设,票税通用票能力迭代,2025,2025/03/21,2025/12/31,P0,1230,张小禹,张小禹,,,需求设计,,,D类-供应商池,Level1 - 代码补全辅助开发,N/A,财资,188,100,188.00%,,,188,244400,,0.0,,,,S01778,票税云平台,柯莱特科技有限责任公司,低附加值(SR为主),全供应商承建,通用开发类,1,1,1,0,3,3:1:0,,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,是,需求设计,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,需求设计,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
支付管理-境内公司外币付款,财资数字化,数字化赋能领域,财资数字化,资金能力迭代,境内公司外币付款能力线上化,2025,2025/05/19,2025/12/30,P0,1230,王宗武,杨中锐,"高强,逯瑾",,挂起/取消,,,C类-包资源模式,Level2 - 会话模式辅助开发,Cursor,财资,182,,,,,182,218400,,0.0,,,,,,,核心项目新建,自有+供应商承建,通用开发类,1.7,3,0,0,2,2:1:2,0,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,是,挂起/取消,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,挂起/取消,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
结算中台账户体系全链路对账能力建设：智家-工行安心户、支付宝云资通；物流-云顺光大、日日辔工行管家卡；售后：网商云资金；卡泰驰：交易管家等,财资数字化,数字化赋能领域,财资数字化,资金能力迭代,结算中台能力迭代：对账能力、商户中心、开户能力建设,2025,2025/05/16,2025/12/30,P1,1230,王宗武,杨中锐,逯瑾,逯瑾,开发,2%,,C类-包资源模式,Level2 - 会话模式辅助开发,,财资,180,88,204.55%,,,68,216000,,17.0,1059%,,,S01959,数字化转型-结算中心,,核心项目新建,自有+供应商承建,通用开发类,1.7,3,3,,8,8:1:1,,,,,,,,,,,,,,,,,暂无,,2025/07/08,交付与质量中心,,是,开发中,true,,,40.0,,2026/01/04 08:57,40.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,暂无,,2025/07/08,交付与质量中心,,,开发中,true,,,40.0,,2026/01/04 08:57,40.0,,赵晨,,,2025/07/08,
"收款管理推广实施
试点公司类型、记账系统等维护,费用项目维护，路由、分拣、认领等规则维护，流水来源，借贷标记位维护，上线后运维问题的处理，上线法人公司在结算中台、票据通、资金系统、智税通等外围系统的支付单据上线，银行流水、第三方流水、POS流水上线，后端抛帐会计引擎异常协同处理；试运行和运营过程中问题收集处理、规则迭代、性能调优；",财资数字化,数字化赋能领域,财资数字化,资金能力迭代,收款管理能力完善,2025,2025/04/01,2025/12/30,P0,1130,王宗武,薛永娟,,,挂起/取消,,,D类-供应商池,Level1 - 代码补全辅助开发,,财资,180,99,181.82%,,,180,216000,,0.0,,,,S03548,收款管理,中电金信软件有限公司,,,,,,,,,:1:0,,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,是,挂起/取消,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,挂起/取消,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
电签人脸识别升级,人力数字化,数字化领域赋能,薪委会数字化,共享数字化专项,176-电签契约锁升级切换,2025,2025/06/01,2025/07/31,P1,630,梁祯,梁祯,尹相波,,结项,,,,,,人力,180,180,100.00%,,,180,,,0.0,,,,,,,,自有+供应商承建,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2025/07/07,非交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,梁祯,共享关爱,,,2025/07/07,,,,,,,,,,,,,,,,,,2025/07/07,非交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,梁祯,,,2025/07/07,
老智税通数据库迁移oracle迁至MySQL,财资数字化,数字化赋能领域,财资数字化,税务“金字塔循环”体系建设,老智税通解耦重构,2025,2025/02/10,2025/09/30,P1,930,张小禹,张小禹,,,需求设计,,,D类-供应商池,Level1 - 代码补全辅助开发,N/A,财资,173,,,,,173,224900,,0.0,,,,S01425,海尔智税通,青岛微智慧信息有限公司,成熟套件,全供应商承建,通用开发类,1,1,3,0,2,2:1:0,,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,是,需求设计,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,需求设计,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
商户中心能力建设：商户全景运营能力搭建，包括商户的中台-渠道账户开变销、商户关系管理、经营报表等。,财资数字化,数字化赋能领域,财资数字化,资金能力迭代,结算中台能力迭代：对账能力、商户中心、开户能力建设,2025,2025/05/16,2025/10/30,P1,1030,王宗武,杨中锐,逯瑾,,挂起/取消,,,C类-包资源模式,,,财资,171,,,,,171,205200,,0.0,,,,S01959,数字化转型-结算中心,,核心项目新建,自有+供应商承建,通用开发类,1.7,3,3,,8,8:1:1,,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,是,挂起/取消,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,挂起/取消,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
校园人才库,人力数字化,数字化领域赋能,薪委会数字化,招聘数字化专项,其他需求,2025,2025/10/21,2025/12/30,,1230,梁文嘉,梁文嘉,"范斌,王元超,张启栋",张启栋,结项,100%,,,,,人力,170,,,,,0,0,,6.0,2833%,,,,,,,自有+供应商承建,,,,,,,:1:3,,,,,,,,,,,,,,,,,,,2025/10/23,非交付与质量中心,,,开发完成,false,,,14.0,,2026/02/09 09:11,14.0,,梁文嘉,规划配置与绩效激励,,,2025/10/23,,,,,,,,,,,,,,,,,,2025/10/23,非交付与质量中心,,,开发完成,false,,,14.0,,2026/02/09 09:11,14.0,,梁文嘉,,,2025/10/23,
保证前端基座稳定可靠，智能体建设等,财资数字化,数字化赋能领域,财资数字化,财务数字化平台建设,财务数字化平台建设：无边界，实现拼装式应用组装,2025,2025/06/02,2025/11/27,P0,1130,刘晓红,马素英,孙乐磊,,开发,,,C类-包资源模式,Level2 - 会话模式辅助开发,Cursor,财资,160,70,228.57%,,,0,,,0.0,,0,,,,,核心项目新建,全自有承建,通用开发类,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,开发中,true,,,0.0,5,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,开发中,true,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
